Generation,d_e,k_r,delta,k_o,d_min,Cost
1,2.72970609921698,7.5754828559525755,4.572436268990964,3.599434087461995,0.983860932804733,260.16747308703344
1,4.841083924966138,7.303081487457245,5.5122389809764325,9.01828810950889,1.120905053166673,300.73327011691555
2,2.72970609921698,7.5754828559525755,4.572436268990964,3.599434087461995,0.983860932804733,260.16747308703344
2,2.72970609921698,7.5754828559525755,4.572436268990964,3.599434087461995,0.983860932804733,297.22185156248486
